NOME_SUBTIPO_DE_CURSOS,CODIGO_CURSO,CURSO,EIXO_TECNOLOGICO,MODALIDADE,CARGA_HORARIA_CURSO,SITUACAO_ATIVO,CODIGO_UNIDADE_DE_ENSINO,UNIDADE_DE_ENSINO,UF,CODIGO_MUNICIPIO,MUNICIPIO
Técnico,6,Técnico em Enfermagem,Ambiente e Saúde,Educação Presencial,1200,t,50212,FACULDADE SETE LAGOAS - FACSETE - Prédio Novo nº 86,MG,3167202,Sete Lagoas
Técnico,232034,Técnico em Serviços Jurídicos,Gestão e Negócios,null,800,t,31733,ESCOLA SUPERIOR NACIONAL DE SEGUROS - CAMPUS: RIO DE JANEIRO - CENTRO,RJ,3304557,Rio de Janeiro
Técnico,59,Técnico em Recursos Humanos,Gestão e Negócios,Educação Presencial,800,t,46876,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - POLO DE APOIO PRESENCIAL DE SÃO JOAQUIM/SC,SC,4216503,São Joaquim
Técnico,53,Técnico em Contabilidade,Gestão e Negócios,Educação Presencial,800,t,46830,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - POLO DE APOIO PRESENCIAL DE JANUÁRIA/MG,MG,3135209,Januária
Técnico,59,Técnico em Recursos Humanos,Gestão e Negócios,Educação Presencial,800,t,50274,FACULDADE TRÊS MARIAS - FTM - Faculdade Três Marias,PB,2507507,João Pessoa
Técnico,59,Técnico em Recursos Humanos,Gestão e Negócios,Educação Presencial,800,t,24799,UNIVERSIDADE LUTERANA DO BRASIL - ULBRA - POLO GUAÍBA,RS,4309308,Guaíba
Técnico,59,Técnico em Recursos Humanos,Gestão e Negócios,Educação Presencial,800,t,46921,Centro Universitário União das Américas Descomplica - UNIAMÉRICA - Campus Centro,PR,4108304,Foz do Iguaçu
Técnico,57,Técnico em Marketing,Gestão e Negócios,Educação Presencial,800,t,50002,FACULDADE DE ENSINO SUPERIOR PELEGRINO CIPRIANI - FASPEC,MT,5103403,Cuiabá
Técnico,2,Técnico em Análises Clínicas,Ambiente e Saúde,Educação Presencial,1200,t,24443,UNIVERSIDADE CRUZEIRO DO SUL - CAMPUS: CAMPUS ANÁLIA FRANCO,SP,3550308,São Paulo
Técnico,95,Técnico em Transporte de Cargas,Infraestrutura,Educação Presencial,1000,t,46818,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - CENTRO UNIVERSITÁRIO LEONARDO DA VINCI,SC,4207502,Indaial
Técnico,6,Técnico em Enfermagem,Ambiente e Saúde,Educação Presencial,1200,t,31193,CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS - LIBERDADE,SP,3550308,São Paulo
